subject_code;subject_name;subject_acronym
2223_INGE_EI_S5_UE55_ENERG;Energétique;ENERG_S5
2223_INGE_EI_S5_UE55_GPROD;Gestion de Production;GPROD_S5
2223_INGE_EI_S5_UE55_MATER;Matériaux;MATER_S5
2223_INGE_EI_S5_UE55_SELEC;Electronique, actionneurs électriques, systèmes embarqués;SELEC_S5
2223_INGE_EI_S5_UE55_SSTEM;Système d'information;SSTEM_S5
2223_INGE_EI_S5_UE56_DEARC;Découverte architecturale;DEARC_S5
2223_INGE_EI_S7_FAST_TRACK_UE71_EPS;Sports;FASTTRACK_EPS_S7
2223_INGE_EI_S7_FAST_TRACK_UE71_FL2;English;FASTTRACK_FL2_S7
2223_INGE_EI_S7_FAST_TRACK_UE71_FLE;French Language;FASTTRACK_FLE_S7
2223_INGE_EI_S7_FAST_TRACK_UE72_ALGPR;Algorithms & Programming;FASTTRACK_ALGPR_S7
2223_INGE_EI_S7_FAST_TRACK_UE72_OFM;Optimization;FASTTRACK_OFM_S7
2223_INGE_EI_S7_FAST_TRACK_UE73_FINEL;Finite Elements;FASTTRACK_FINEL_S7
2223_INGE_EI_S7_FAST_TRACK_UE73_MATH1;Maths I;FASTTRACK_MATH1_S7
2223_INGE_EI_S7_FAST_TRACK_UE73_SNS;Signal and Systems;FASTTRACK_SNS_S7
2223_INGE_EI_S7_FAST_TRACK_UE74_CIVEN;Civil Engineering;FASTTRACK_CIVEN_S7
2223_INGE_EI_S7_FAST_TRACK_UE74_ENERG;Energetics;FASTTRACK_ENERG_S7
2223_INGE_EI_S7_FAST_TRACK_UE74_ROBOT;Robotics;FASTTRACK_ROBOT_S7
2223_INGE_EI_S7_FI_UE71_BLOC_LVC_ALLEM;Allemand;ALLS7
2223_INGE_EI_S7_FI_UE71_BLOC_LVC_CHINO;Chinois;CHIS7
2223_INGE_EI_S7_FI_UE71_BLOC_LVC_ENGLI;Anglais;ANGS7
2223_INGE_EI_S7_FI_UE71_BLOC_LVC_ESPAG;Espagnol;ESPS7
2223_INGE_EI_S7_FI_UE71_BLOC_LVC_ITALI;Italien;ITAS7
2223_INGE_EI_S7_FI_UE71_BLOC_LVC_JAPON;Japonais;JAPS7
2223_INGE_EI_S7_FI_UE71_BLOC_LVC_RUSSE;Russe;RUSS7
2223_INGE_EI_S7_FI_UE71_BLOC_LVO_ENGLI;Anglais;ENGS7
2223_INGE_EI_S7_FI_UE71_BLOC_LVO_FLE;Français Langue Etrangère;FLES7
2223_INGE_EI_S7_FI_UE71_EPS;Education sportive;EPSS79
2223_INGE_EI_S7_FI_UE75_PROAR;Projet architectural;PROAR
2223_INGE_EI_S7_SOFTSKILLS_SE_IAM11;IAM11 - Développer son employabilité;IAM11_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_IAM40;IAM40 - Théâtre;IAM40_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_INOV21;INOV21 - Produire responsable;INOV21_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_INOV23;INOV23 - Innovation durable avec l'approche Economie Circulaire et Bas Carbone;INOV23_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_INOV26;INOV26 - Entreprendre une démarche QSE;INOV26_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_INOV32;INOV32 - Entreprendre la grande transition;INOV32_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_OSO11;OSO11 - Transition énergétique, aménagement urbain et mondialisation;OSO11_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_OSO13;OSO13 - Trajectoires bas carbone;OSO13_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_OSO21;OSO21 - Qualité de vie au travail;OSO21_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_OSO22;OSO22 - Parties prenantes : quel dialogue;OSO22_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_OSO32;OSO32 - Droit de l'environnement;OSO32_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_OSO33;OSO33 - Ethique environnementale pour les organisations;OSO33_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_OSO42;OSO42 - Gouvernance d'entreprise;OSO42_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_PRO21;PRO21 - Devenir et être un chef de projet;PRO21_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_PRO30;PRO30 - Politique Ressources humaines et management;PRO30_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_PRO31;PRO31 - Les bonnes pratiques managériales;PRO31_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_PRO33;PRO33 - Projet : conduire le changement;PRO33_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_PRO34;PRO34 - Intercultural Management;PRO34_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_PRO40;PRO40 - Sales and Marketing Management;PRO40_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_PRO50;PRO50 - Finance pour non financier;PRO50_S7
2223_INGE_EI_S7_SOFTSKILLS_SE_PRO52;PRO52 - Les 5 dimensions financières indispensables;PRO52_S7
2223_INGE_EI_S9_UE91_BLOC_LVC_ALLEM;Allemand;ALLS9
2223_INGE_EI_S9_UE91_BLOC_LVC_CHINO;Chinois;CHIS9
2223_INGE_EI_S9_UE91_BLOC_LVC_ENGLI;Anglais;ANGS9
2223_INGE_EI_S9_UE91_BLOC_LVC_ESPAG;Espagnol;ESPS9
2223_INGE_EI_S9_UE91_BLOC_LVC_ITALI;Italien;ITAS9
2223_INGE_EI_S9_UE91_BLOC_LVC_JAPON;Japonais;JAPS9
2223_INGE_EI_S9_UE91_BLOC_LVC_RUSSE;Russe;RUSS9
2223_INGE_EI_S9_UE91_BLOC_LVO_ENGLI;Anglais;ENGS9
2223_INGE_EI_S9_UE91_BLOC_LVO_FLE;Français Langue Etrangère;FLES9
2223_INGE_EI_S9_UE91_EPS;Education sportive;EPSS79
